claim_id,claim_date,claim_report_date,policy_id,vehicle_age_years,claim_amount,days_to_report,previous_claims,city,garage_type,accident_type,fraud_flag
25,2024-06-09 00:00:00,2024-07-22 00:00:00,1491,14,183139.49,43,3,Delhi,Local,Theft,1
26,2024-02-27 00:00:00,2024-03-21 00:00:00,1413,5,73753.99,23,0,Delhi,Authorized,Theft,1
27,2024-01-22 00:00:00,2024-03-06 00:00:00,1805,12,116956.49,44,1,Delhi,Authorized,Collision,1
28,2024-03-29 00:00:00,2024-05-06 00:00:00,1385,16,127188.33,38,4,Hyderabad,Local,Fire,1
29,2024-02-18 00:00:00,2024-03-09 00:00:00,1191,16,4592.7,20,4,Pune,Local,Fire,1
30,2024-02-28 00:00:00,2024-03-22 00:00:00,1955,7,133380.4,23,4,Mumbai,Authorized,Collision,1
31,2024-06-18 00:00:00,2024-07-04 00:00:00,1276,4,37251.12,16,3,Hyderabad,Local,Theft,1
32,2024-01-15 00:00:00,2024-02-26 00:00:00,1160,1,192291.92,42,2,Delhi,Authorized,Collision,1
33,2024-06-23 00:00:00,2024-07-01 00:00:00,1459,5,31435.22,8,2,Chennai,Local,Fire,0
34,2024-02-20 00:00:00,2024-03-12 00:00:00,1313,10,84095.58,21,0,Bangalore,Local,Flood,1
35,2024-04-17 00:00:00,2024-04-18 00:00:00,1021,5,18899.23,1,3,Hyderabad,Local,Theft,1
36,2024-02-24 00:00:00,2024-03-03 00:00:00,1252,4,199381.1,8,4,Hyderabad,Local,Fire,1
37,2024-03-04 00:00:00,2024-04-02 00:00:00,1747,2,101434.61,29,4,Mumbai,Authorized,Theft,1
38,2024-05-10 00:00:00,2024-06-11 00:00:00,1856,10,119886.23,32,1,Mumbai,Authorized,Collision,1
39,2024-02-20 00:00:00,2024-03-29 00:00:00,1560,19,15281.14,38,1,Hyderabad,Local,Flood,1
40,2024-05-14 00:00:00,2024-05-19 00:00:00,1474,1,150492.17,5,4,Delhi,Authorized,Collision,1
41,2024-01-21 00:00:00,2024-02-12 00:00:00,1058,5,43561.31,22,4,Bangalore,Local,Flood,1
42,2024-03-13 00:00:00,2024-04-16 00:00:00,1510,13,179814.75,34,3,Mumbai,Authorized,Theft,1
43,2024-06-15 00:00:00,2024-06-16 00:00:00,1681,4,42617.65,1,2,Delhi,Local,Theft,0
44,2024-01-18 00:00:00,2024-02-13 00:00:00,1475,16,39756.17,26,1,Chennai,Local,Collision,1
45,2024-05-11 00:00:00,2024-06-23 00:00:00,1699,16,9236.83,43,2,Mumbai,Local,Flood,1
46,2024-03-29 00:00:00,2024-04-08 00:00:00,1975,2,95469.26,10,3,Delhi,Authorized,Flood,1
47,2024-02-29 00:00:00,2024-03-30 00:00:00,1782,17,113838.54,30,4,Delhi,Local,Theft,1
48,2024-01-14 00:00:00,2024-02-01 00:00:00,1189,12,15010.31,18,2,Bangalore,Authorized,Collision,0
49,2024-01-09 00:00:00,2024-01-26 00:00:00,1957,18,155554.47,17,4,Bangalore,Authorized,Flood,1
50,2024-03-30 00:00:00,2024-04-25 00:00:00,1686,3,91751.19,26,4,Chennai,Local,Theft,1
51,2024-02-22 00:00:00,2024-03-01 00:00:00,1957,1,105829.27,8,0,Delhi,Local,Fire,0
52,2024-05-09 00:00:00,2024-06-18 00:00:00,1562,1,89271.02,40,2,Pune,Local,Collision,1
53,2024-03-24 00:00:00,2024-04-05 00:00:00,1875,19,81351.09,12,2,Delhi,Authorized,Fire,0
54,2024-04-01 00:00:00,2024-04-28 00:00:00,1566,11,112808.79,27,4,Bangalore,Authorized,Collision,1
55,2024-04-20 00:00:00,2024-04-28 00:00:00,1243,5,32737.57,8,3,Pune,Authorized,Theft,1
56,2024-06-20 00:00:00,2024-07-15 00:00:00,1831,12,38021.77,25,0,Mumbai,Authorized,Flood,1
57,2024-01-08 00:00:00,2024-01-12 00:00:00,1504,3,172633.55,4,4,Mumbai,Authorized,Flood,1
58,2024-06-23 00:00:00,2024-07-26 00:00:00,1130,1,189330.86,33,1,Hyderabad,Local,Flood,1
59,2024-02-04 00:00:00,2024-02-05 00:00:00,1484,1,75915.24,1,1,Bangalore,Authorized,Collision,0
60,2024-03-21 00:00:00,2024-04-09 00:00:00,1818,8,55607.45,19,0,Hyderabad,Local,Theft,0
61,2024-06-12 00:00:00,2024-07-13 00:00:00,1646,10,129511.91,31,3,Pune,Local,Fire,1
62,2024-02-19 00:00:00,2024-03-06 00:00:00,1020,11,82929.37,16,4,Bangalore,Local,Theft,1
63,2024-04-13 00:00:00,2024-04-27 00:00:00,1840,12,7026.5,14,2,Chennai,Local,Fire,0
64,2024-05-11 00:00:00,2024-05-16 00:00:00,1166,13,32918.21,5,0,Delhi,Local,Collision,0
65,2024-01-02 00:00:00,2024-02-12 00:00:00,1273,12,143762.5,41,3,Chennai,Authorized,Collision,1
66,2024-05-13 00:00:00,2024-06-08 00:00:00,1387,14,132466.94,26,2,Pune,Authorized,Fire,1
67,2024-02-23 00:00:00,2024-03-22 00:00:00,1600,2,7365.01,28,1,Bangalore,Authorized,Fire,1
68,2024-04-15 00:00:00,2024-04-17 00:00:00,1315,19,45950.49,2,1,Pune,Authorized,Fire,0
69,2024-01-04 00:00:00,2024-01-10 00:00:00,1013,18,47752.81,6,2,Delhi,Local,Theft,0
70,2024-02-23 00:00:00,2024-03-03 00:00:00,1241,3,135034.76,9,0,Mumbai,Authorized,Fire,0
71,2024-05-25 00:00:00,2024-06-27 00:00:00,1776,17,5902.69,33,1,Mumbai,Local,Collision,1
72,2024-02-13 00:00:00,2024-03-25 00:00:00,1345,8,22613.5,41,4,Pune,Local,Collision,1
73,2024-06-10 00:00:00,2024-07-05 00:00:00,1564,10,160383.38,25,2,Hyderabad,Authorized,Flood,1
74,2024-01-14 00:00:00,2024-01-27 00:00:00,1897,2,37351.84,13,2,Bangalore,Local,Fire,0
75,2024-04-04 00:00:00,2024-04-13 00:00:00,1339,19,131243.73,9,1,Bangalore,Authorized,Theft,0
76,2024-02-17 00:00:00,2024-03-01 00:00:00,1091,9,49160.19,13,0,Mumbai,Authorized,Theft,0
77,2024-01-15 00:00:00,2024-02-15 00:00:00,1366,7,21689.4,31,4,Chennai,Local,Theft,1
78,2024-02-09 00:00:00,2024-03-21 00:00:00,1955,4,50148.09,41,0,Delhi,Authorized,Flood,1
79,2024-03-22 00:00:00,2024-04-02 00:00:00,1454,18,145008.85,11,3,Chennai,Local,Collision,1
80,2024-04-20 00:00:00,2024-04-24 00:00:00,1427,13,171427.9,4,3,Chennai,Authorized,Theft,1
81,2024-02-22 00:00:00,2024-03-27 00:00:00,1508,11,166383.53,34,1,Pune,Authorized,Collision,1
82,2024-01-24 00:00:00,2024-03-02 00:00:00,1775,4,80642.34,38,1,Mumbai,Local,Flood,1
83,2024-06-02 00:00:00,2024-06-06 00:00:00,1942,4,134280.86,4,1,Mumbai,Authorized,Fire,0
84,2024-05-03 00:00:00,2024-06-10 00:00:00,1034,10,42586.89,38,3,Mumbai,Authorized,Fire,1
85,2024-02-10 00:00:00,2024-02-29 00:00:00,1205,5,60043.25,19,0,Pune,Authorized,Fire,0
86,2024-06-05 00:00:00,2024-06-11 00:00:00,1080,9,179474.49,6,0,Hyderabad,Local,Theft,0
87,2024-01-15 00:00:00,2024-02-18 00:00:00,1931,3,4574.38,34,1,Chennai,Authorized,Fire,1
88,2024-02-14 00:00:00,2024-03-03 00:00:00,1561,17,18930.69,18,4,Pune,Authorized,Theft,1
89,2024-03-05 00:00:00,2024-03-18 00:00:00,1871,3,43161.48,13,0,Bangalore,Authorized,Flood,0
90,2024-03-29 00:00:00,2024-05-09 00:00:00,1387,16,7253.38,41,3,Delhi,Authorized,Flood,1
91,2024-03-11 00:00:00,2024-04-03 00:00:00,1001,4,37924.22,23,2,Hyderabad,Local,Theft,1
92,2024-01-09 00:00:00,2024-01-28 00:00:00,1389,18,117442.23,19,2,Bangalore,Local,Collision,0
93,2024-03-28 00:00:00,2024-04-08 00:00:00,1565,17,85442.06,11,2,Chennai,Authorized,Fire,0
94,2024-05-08 00:00:00,2024-05-09 00:00:00,1105,7,178749,1,4,Mumbai,Local,Fire,1
95,2024-05-15 00:00:00,2024-06-08 00:00:00,1771,5,163853.83,24,1,Chennai,Authorized,Fire,1
96,2024-03-03 00:00:00,2024-03-10 00:00:00,1821,12,69679.84,7,3,Pune,Local,Theft,1
97,2024-05-18 00:00:00,2024-06-12 00:00:00,1476,17,53365.84,25,4,Delhi,Local,Flood,1
98,2024-03-21 00:00:00,2024-04-11 00:00:00,1702,13,77179.1,21,3,Pune,Authorized,Fire,1
99,2024-05-15 00:00:00,2024-05-30 00:00:00,1401,3,118878.4,15,3,Hyderabad,Local,Flood,1
100,2024-06-11 00:00:00,2024-06-12 00:00:00,1729,9,55076.6,1,1,Hyderabad,Local,Fire,0
101,2024-06-11 00:00:00,2024-06-23 00:00:00,1555,17,125581.48,12,2,Delhi,Authorized,Fire,0
102,2024-02-02 00:00:00,2024-02-09 00:00:00,1161,17,83063.51,7,1,Bangalore,Authorized,Theft,0
103,2024-05-02 00:00:00,2024-05-17 00:00:00,1201,16,111305.34,15,4,Bangalore,Authorized,Collision,1
104,2024-01-05 00:00:00,2024-01-26 00:00:00,1957,13,88353.05,21,4,Hyderabad,Local,Theft,1
105,2024-02-10 00:00:00,2024-02-29 00:00:00,1995,19,60304.22,19,4,Hyderabad,Local,Fire,1
106,2024-01-28 00:00:00,2024-02-26 00:00:00,1269,17,189793.75,29,1,Mumbai,Local,Fire,1
107,2024-05-14 00:00:00,2024-06-08 00:00:00,1862,4,153193.95,25,3,Bangalore,Local,Collision,1
108,2024-03-12 00:00:00,2024-04-14 00:00:00,1815,12,29742.41,33,3,Delhi,Local,Flood,1
109,2024-01-12 00:00:00,2024-02-13 00:00:00,1270,9,173956.66,32,0,Bangalore,Local,Flood,1
110,2024-06-10 00:00:00,2024-07-15 00:00:00,1455,19,98511.38,35,4,Mumbai,Local,Fire,1
111,2024-02-02 00:00:00,2024-03-17 00:00:00,1461,12,179121.34,44,3,Pune,Authorized,Flood,1
112,2024-02-17 00:00:00,2024-03-26 00:00:00,1726,9,160371.34,38,0,Hyderabad,Authorized,Fire,1
113,2024-05-30 00:00:00,2024-06-25 00:00:00,1251,7,86192.27,26,3,Hyderabad,Local,Collision,1
114,2024-03-02 00:00:00,2024-03-13 00:00:00,1701,14,6448.92,11,4,Mumbai,Authorized,Collision,1
115,2024-02-06 00:00:00,2024-03-12 00:00:00,1295,19,55198.12,35,2,Delhi,Local,Fire,1
116,2024-04-08 00:00:00,2024-04-16 00:00:00,1724,15,109243.57,8,4,Hyderabad,Authorized,Collision,1
117,2024-06-20 00:00:00,2024-07-04 00:00:00,1719,16,127428.69,14,1,Chennai,Authorized,Theft,0
118,2024-04-13 00:00:00,2024-04-23 00:00:00,1748,5,53061.76,10,3,Hyderabad,Local,Theft,1
119,2024-02-04 00:00:00,2024-02-06 00:00:00,1337,3,29592.5,2,3,Chennai,Authorized,Collision,1
120,2024-04-10 00:00:00,2024-04-19 00:00:00,1878,12,167316.19,9,1,Mumbai,Authorized,Fire,0
121,2024-06-23 00:00:00,2024-06-26 00:00:00,1052,4,196911.63,3,1,Mumbai,Authorized,Fire,0
122,2024-05-10 00:00:00,2024-05-31 00:00:00,1791,16,106086.66,21,2,Hyderabad,Local,Collision,1
123,2024-01-01 00:00:00,2024-01-27 00:00:00,1921,7,35992.5,26,3,Bangalore,Authorized,Flood,1
124,2024-01-05 00:00:00,2024-01-13 00:00:00,1216,13,55916.85,8,3,Chennai,Local,Theft,1
125,2024-05-21 00:00:00,2024-05-23 00:00:00,1763,10,5641.35,2,2,Delhi,Authorized,Flood,0
126,2024-04-12 00:00:00,2024-04-18 00:00:00,1187,7,183031.16,6,0,Hyderabad,Local,Fire,0
127,2024-01-27 00:00:00,2024-02-24 00:00:00,1379,14,25314.71,28,2,Delhi,Local,Fire,1
128,2024-05-16 00:00:00,2024-06-14 00:00:00,1492,5,116150.26,29,4,Hyderabad,Authorized,Flood,1
129,2024-01-15 00:00:00,2024-02-10 00:00:00,1040,3,56262.93,26,3,Bangalore,Authorized,Collision,1
130,2024-03-30 00:00:00,2024-04-24 00:00:00,1156,11,111727.24,25,1,Bangalore,Authorized,Flood,1
131,2024-02-11 00:00:00,2024-02-23 00:00:00,1014,11,130981.24,12,4,Bangalore,Local,Flood,1
132,2024-05-03 00:00:00,2024-05-08 00:00:00,1812,18,166288.88,5,3,Pune,Authorized,Theft,1
133,2024-06-27 00:00:00,2024-07-31 00:00:00,1064,15,42871.41,34,2,Bangalore,Authorized,Theft,1
134,2024-03-03 00:00:00,2024-04-09 00:00:00,1856,12,4177.17,37,4,Mumbai,Authorized,Flood,1
135,2024-04-05 00:00:00,2024-04-20 00:00:00,1838,9,29103.35,15,3,Mumbai,Authorized,Flood,1
136,2024-02-21 00:00:00,2024-04-05 00:00:00,1520,10,180203.69,44,0,Pune,Authorized,Fire,1
137,2024-04-05 00:00:00,2024-05-11 00:00:00,1343,12,175030.24,36,0,Chennai,Local,Theft,1
138,2024-05-11 00:00:00,2024-05-26 00:00:00,1128,17,120287.79,15,1,Delhi,Local,Theft,0
139,2024-05-30 00:00:00,2024-07-12 00:00:00,1647,6,120902.34,43,3,Hyderabad,Authorized,Fire,1
140,2024-05-22 00:00:00,2024-06-14 00:00:00,1471,7,133677.26,23,0,Hyderabad,Authorized,Collision,1
141,2024-06-19 00:00:00,2024-06-25 00:00:00,1062,14,36723.51,6,2,Pune,Authorized,Theft,0
142,2024-01-29 00:00:00,2024-03-13 00:00:00,1138,13,183053.57,44,3,Mumbai,Local,Theft,1
143,2024-02-05 00:00:00,2024-03-19 00:00:00,1498,8,84916.56,43,2,Hyderabad,Local,Collision,1
144,2024-01-13 00:00:00,2024-02-03 00:00:00,1592,10,77861.43,21,2,Mumbai,Local,Theft,1
145,2024-06-08 00:00:00,2024-07-01 00:00:00,1391,9,104745.71,23,0,Chennai,Local,Theft,1
146,2024-03-11 00:00:00,2024-04-23 00:00:00,1674,18,11299.26,43,3,Delhi,Authorized,Collision,1
147,2024-03-26 00:00:00,2024-04-11 00:00:00,1418,2,34924.11,16,4,Chennai,Local,Collision,1
148,2024-01-28 00:00:00,2024-02-12 00:00:00,1288,5,148130.66,15,0,Pune,Local,Flood,0
149,2024-03-06 00:00:00,2024-03-31 00:00:00,1378,5,18394.14,25,0,Bangalore,Authorized,Fire,1
150,2024-06-18 00:00:00,2024-07-24 00:00:00,1772,6,121424.12,36,3,Bangalore,Local,Fire,1
151,2024-02-14 00:00:00,2024-02-25 00:00:00,1489,19,50579.12,11,3,Bangalore,Authorized,Collision,1
152,2024-03-02 00:00:00,2024-03-17 00:00:00,1230,8,79080.53,15,2,Chennai,Local,Collision,0
153,2024-05-13 00:00:00,2024-05-17 00:00:00,1040,16,59161.36,4,3,Hyderabad,Authorized,Theft,1
154,2024-01-28 00:00:00,2024-02-18 00:00:00,1027,13,72423.2,21,2,Delhi,Authorized,Flood,1
155,2024-01-28 00:00:00,2024-02-10 00:00:00,1134,1,144371.09,13,0,Bangalore,Local,Flood,0
156,2024-04-17 00:00:00,2024-05-09 00:00:00,1200,17,60830.1,22,1,Pune,Authorized,Collision,1
157,2024-02-13 00:00:00,2024-03-03 00:00:00,1839,7,114148.12,19,4,Pune,Authorized,Theft,1
158,2024-03-24 00:00:00,2024-04-27 00:00:00,1779,13,96257.98,34,0,Bangalore,Authorized,Theft,1
159,2024-01-30 00:00:00,2024-02-13 00:00:00,1929,4,133406.89,14,3,Bangalore,Local,Fire,1
160,2024-03-15 00:00:00,2024-03-19 00:00:00,1032,4,187492.29,4,4,Delhi,Authorized,Fire,1
161,2024-05-07 00:00:00,2024-06-03 00:00:00,1047,6,147049.28,27,1,Bangalore,Authorized,Theft,1
162,2024-04-01 00:00:00,2024-04-30 00:00:00,1502,19,44558.19,29,1,Delhi,Local,Fire,1
163,2024-05-08 00:00:00,2024-06-05 00:00:00,1406,12,8174.26,28,2,Pune,Local,Collision,1
164,2024-04-30 00:00:00,2024-06-04 00:00:00,1573,7,53928.28,35,4,Bangalore,Authorized,Theft,1
165,2024-01-27 00:00:00,2024-02-04 00:00:00,1727,10,119825.43,8,2,Chennai,Local,Fire,0
166,2024-04-30 00:00:00,2024-05-16 00:00:00,1804,19,12182.31,16,0,Chennai,Local,Flood,0
167,2024-04-25 00:00:00,2024-06-06 00:00:00,1098,7,100280.52,42,4,Pune,Local,Theft,1
168,2024-01-03 00:00:00,2024-02-08 00:00:00,1683,3,120174.88,36,0,Delhi,Authorized,Theft,1
169,2024-04-12 00:00:00,2024-05-12 00:00:00,1871,13,68180.29,30,2,Chennai,Authorized,Flood,1
170,2024-06-03 00:00:00,2024-06-21 00:00:00,1725,13,154640.62,18,4,Delhi,Authorized,Collision,1
171,2024-05-16 00:00:00,2024-05-18 00:00:00,1986,18,23106.45,2,2,Chennai,Authorized,Flood,0
172,2024-03-02 00:00:00,2024-03-15 00:00:00,1546,8,16877.28,13,4,Chennai,Authorized,Theft,1
173,2024-06-13 00:00:00,2024-06-17 00:00:00,1960,9,146181.37,4,2,Delhi,Authorized,Collision,0
174,2024-02-20 00:00:00,2024-03-17 00:00:00,1738,7,100107.28,26,1,Hyderabad,Local,Fire,1
175,2024-06-20 00:00:00,2024-07-15 00:00:00,1612,1,138303.67,25,2,Chennai,Authorized,Fire,1
176,2024-05-31 00:00:00,2024-06-30 00:00:00,1942,3,88095.81,30,1,Bangalore,Authorized,Fire,1
177,2024-02-28 00:00:00,2024-03-10 00:00:00,1461,13,50787.6,11,2,Pune,Local,Theft,0
178,2024-04-27 00:00:00,2024-05-04 00:00:00,1642,17,164182.26,7,4,Hyderabad,Authorized,Flood,1
179,2024-06-08 00:00:00,2024-07-09 00:00:00,1768,1,160284.34,31,4,Delhi,Authorized,Collision,1
180,2024-04-05 00:00:00,2024-05-19 00:00:00,1004,6,139549.9,44,4,Hyderabad,Local,Fire,1
181,2024-06-28 00:00:00,2024-07-08 00:00:00,1217,6,55884.74,10,3,Mumbai,Authorized,Collision,1
182,2024-04-22 00:00:00,2024-05-31 00:00:00,1502,12,118865.67,39,0,Mumbai,Local,Theft,1
183,2024-03-02 00:00:00,2024-03-15 00:00:00,1766,13,73472.83,13,4,Chennai,Local,Fire,1
184,2024-02-21 00:00:00,2024-03-23 00:00:00,1397,13,20133.25,31,1,Chennai,Authorized,Theft,1
185,2024-01-12 00:00:00,2024-01-19 00:00:00,1870,15,183628.09,7,4,Bangalore,Local,Flood,1
186,2024-02-08 00:00:00,2024-03-21 00:00:00,1794,16,29090.09,42,3,Pune,Authorized,Theft,1
187,2024-05-09 00:00:00,2024-06-20 00:00:00,1392,11,190147,42,1,Hyderabad,Authorized,Theft,1
188,2024-05-10 00:00:00,2024-06-15 00:00:00,1206,5,90309.14,36,3,Mumbai,Authorized,Flood,1
189,2024-04-22 00:00:00,2024-05-12 00:00:00,1014,4,38656.32,20,1,Chennai,Authorized,Collision,0
190,2024-04-10 00:00:00,2024-04-14 00:00:00,1857,3,109296.39,4,2,Pune,Local,Flood,0
191,2024-04-22 00:00:00,2024-04-29 00:00:00,1553,19,174843.28,7,0,Hyderabad,Authorized,Flood,0
192,2024-03-21 00:00:00,2024-03-22 00:00:00,1891,18,146980.53,1,0,Chennai,Authorized,Theft,0
193,2024-04-22 00:00:00,2024-06-05 00:00:00,1460,15,161699.11,44,3,Chennai,Authorized,Collision,1
194,2024-01-02 00:00:00,2024-02-13 00:00:00,1690,9,132439.11,42,0,Mumbai,Authorized,Fire,1
195,2024-05-09 00:00:00,2024-05-22 00:00:00,1574,17,139070.76,13,3,Mumbai,Authorized,Flood,1
196,2024-02-23 00:00:00,2024-03-16 00:00:00,1863,14,170140.74,22,3,Chennai,Authorized,Collision,1
197,2024-03-27 00:00:00,2024-04-17 00:00:00,1742,15,51434.27,21,3,Delhi,Local,Flood,1
198,2024-05-08 00:00:00,2024-05-30 00:00:00,1240,1,98906.14,22,0,Chennai,Authorized,Flood,1
199,2024-05-26 00:00:00,2024-06-23 00:00:00,1563,3,45799.47,28,3,Pune,Authorized,Flood,1
200,2024-05-05 00:00:00,2024-05-14 00:00:00,1095,16,197558.27,9,0,Chennai,Authorized,Flood,0
201,2024-05-09 00:00:00,2024-06-04 00:00:00,1899,11,188923.75,26,3,Bangalore,Authorized,Theft,1
202,2024-02-22 00:00:00,2024-03-02 00:00:00,1733,12,9806.51,9,4,Bangalore,Local,Collision,1
203,2024-06-20 00:00:00,2024-07-05 00:00:00,1484,10,141703.88,15,3,Bangalore,Authorized,Collision,1
204,2024-06-08 00:00:00,2024-06-18 00:00:00,1406,16,185199.17,10,1,Delhi,Authorized,Collision,0
205,2024-06-08 00:00:00,2024-07-02 00:00:00,1230,8,37753.92,24,3,Delhi,Authorized,Flood,1
206,2024-03-08 00:00:00,2024-04-19 00:00:00,1748,6,114453.16,42,2,Chennai,Local,Theft,1
207,2024-05-02 00:00:00,2024-05-10 00:00:00,1654,12,183266.68,8,3,Bangalore,Local,Flood,1
208,2024-05-24 00:00:00,2024-06-17 00:00:00,1170,8,8721.3,24,1,Delhi,Authorized,Flood,1
209,2024-02-07 00:00:00,2024-02-23 00:00:00,1540,4,140089.21,16,1,Mumbai,Local,Collision,0
210,2024-01-24 00:00:00,2024-02-19 00:00:00,1035,8,60875.1,26,0,Chennai,Local,Flood,1
211,2024-03-09 00:00:00,2024-04-05 00:00:00,1524,18,185030.45,27,4,Pune,Local,Fire,1
212,2024-04-25 00:00:00,2024-06-01 00:00:00,1159,5,194269.53,37,3,Hyderabad,Local,Flood,1
213,2024-04-07 00:00:00,2024-04-11 00:00:00,1838,9,188964.76,4,0,Chennai,Authorized,Fire,0
214,2024-05-18 00:00:00,2024-06-11 00:00:00,1698,4,95894.41,24,4,Hyderabad,Authorized,Flood,1
215,2024-05-23 00:00:00,2024-06-11 00:00:00,1242,17,172684.44,19,3,Bangalore,Authorized,Theft,1
216,2024-04-06 00:00:00,2024-05-12 00:00:00,1085,9,169220.78,36,2,Hyderabad,Authorized,Theft,1
217,2024-05-03 00:00:00,2024-06-11 00:00:00,1795,1,65181.89,39,3,Bangalore,Local,Collision,1
218,2024-03-10 00:00:00,2024-03-20 00:00:00,1577,13,166125.26,10,1,Mumbai,Authorized,Flood,0
219,2024-04-02 00:00:00,2024-04-27 00:00:00,1681,16,9327.51,25,1,Hyderabad,Authorized,Fire,1
220,2024-01-03 00:00:00,2024-01-21 00:00:00,1556,13,120061.44,18,2,Chennai,Local,Fire,0
221,2024-05-27 00:00:00,2024-06-15 00:00:00,1573,14,47541.75,19,0,Bangalore,Authorized,Flood,0
222,2024-06-12 00:00:00,2024-07-18 00:00:00,1952,3,25872.24,36,4,Chennai,Authorized,Fire,1
223,2024-05-26 00:00:00,2024-06-05 00:00:00,1645,6,17236.73,10,3,Delhi,Authorized,Theft,1
224,2024-03-30 00:00:00,2024-05-02 00:00:00,1795,18,139865.18,33,1,Bangalore,Authorized,Fire,1
225,2024-05-26 00:00:00,2024-05-31 00:00:00,1027,19,69295.24,5,0,Hyderabad,Local,Collision,0
226,2024-05-27 00:00:00,2024-07-01 00:00:00,1619,5,145503.82,35,2,Bangalore,Authorized,Theft,1
227,2024-04-05 00:00:00,2024-05-19 00:00:00,1555,15,14940.56,44,1,Chennai,Authorized,Theft,1
228,2024-02-21 00:00:00,2024-03-26 00:00:00,1339,2,64427.49,34,2,Mumbai,Authorized,Theft,1
229,2024-06-09 00:00:00,2024-07-12 00:00:00,1797,10,108819.28,33,3,Bangalore,Authorized,Flood,1
230,2024-06-16 00:00:00,2024-07-07 00:00:00,1957,18,158563.19,21,4,Hyderabad,Local,Flood,1
231,2024-05-07 00:00:00,2024-05-24 00:00:00,1330,13,65113,17,1,Delhi,Authorized,Theft,0
232,2024-02-08 00:00:00,2024-03-01 00:00:00,1639,5,125926.49,22,1,Pune,Authorized,Flood,1
233,2024-03-22 00:00:00,2024-04-28 00:00:00,1505,1,177423.59,37,3,Mumbai,Local,Fire,1
234,2024-04-13 00:00:00,2024-04-28 00:00:00,1347,1,123940.91,15,0,Delhi,Local,Flood,0
235,2024-05-08 00:00:00,2024-06-12 00:00:00,1472,18,48125.98,35,4,Bangalore,Authorized,Flood,1
236,2024-01-11 00:00:00,2024-02-08 00:00:00,1230,15,6831.35,28,1,Chennai,Authorized,Theft,1
237,2024-06-26 00:00:00,2024-07-03 00:00:00,1189,17,174279.58,7,4,Chennai,Local,Collision,1
238,2024-05-30 00:00:00,2024-07-01 00:00:00,1224,11,6211.34,32,1,Hyderabad,Local,Collision,1
239,2024-06-07 00:00:00,2024-06-18 00:00:00,1384,17,175190.93,11,4,Chennai,Authorized,Collision,1
240,2024-02-11 00:00:00,2024-02-21 00:00:00,1376,13,106729.55,10,2,Mumbai,Local,Fire,0
